2024-10-16 10:38:36  47
2024-10-16 10:38:37  64
2024-10-16 10:38:38  40
2024-10-16 10:43:27  56
2024-10-16 10:43:28  99
2024-10-16 10:43:29  62
2024-10-16 10:43:30  64
2024-10-16 10:43:31  54
2024-10-16 10:43:32  52
2024-10-16 10:43:33  50
2024-10-16 10:45:27  44
2024-10-16 10:45:28  99
2024-10-16 10:45:29  57
2024-10-16 10:45:30  82
2024-10-16 10:45:31  100
2024-10-16 10:45:32  68
2024-10-16 10:45:33  48
2024-10-16 10:46:04  85
2024-10-16 10:46:05  48
2024-10-16 10:46:06  49
2024-10-16 10:46:07  98
2024-10-16 10:46:08  72
2024-10-16 10:46:09  93
2024-10-16 10:46:10  75
2024-10-16 10:46:11  62
2024-10-16 10:57:01  44
2024-10-16 10:57:02  74
2024-10-16 10:57:03  94
2024-10-16 10:57:04  80
2024-10-16 11:08:57 lmz 49
2024-10-16 11:08:58 lmz 85
2024-10-16 11:08:59 lmz 75
2024-10-16 11:09:00 lmz 40
2024-10-16 11:09:01 lmz 79
2024-10-16 11:09:02 lmz 51
2024-10-16 11:09:03 lmz 45
2024-10-16 11:09:04 lmz 71
2024-10-16 11:09:05 lmz 73
2024-10-16 11:09:06 lmz 96
2024-10-16 11:09:07 lmz 56
2024-10-16 11:09:08 lmz 52
2024-10-16 11:09:09 lmz 87
2024-10-16 11:09:10 lmz 96
2024-10-16 11:09:11 lmz 92
2024-10-16 11:09:12 lmz 78
2024-10-16 11:09:13 lmz 99
2024-10-16 11:09:14 lmz 78
2024-10-16 11:09:15 lmz 89
2024-10-16 11:09:16 lmz 81
2024-10-16 11:09:17 lmz 68
2024-10-16 11:09:18 lmz 74
2024-10-16 11:09:19 lmz 91
2024-10-16 11:09:20 lmz 90
2024-10-16 11:09:21 lmz 91
2024-10-16 11:09:22 lmz 90
2024-10-16 11:09:23 lmz 83
2024-10-16 11:09:24 lmz 63
2024-10-16 11:09:25 lmz 86
2024-10-16 11:09:26 lmz 63
2024-10-16 11:09:27 lmz 94
2024-10-16 11:09:28 lmz 94
